Variable,Variable Label,Response Category,Notes
Year,Year survey fielded,,
Region,Region,,
Gender,Gender,,"Non-binary genders have been removed due to low counts, and cases with missing gender information are not included in the summary statistics."
a1_agree,"A.1. How much do you agree or disagree with the following statement? “Men and women should have equal opportunities (e.g. in education, jobs, household decision-making).""",Strongly Agree/Agree,
a1_neutral,"A.1. How much do you agree or disagree with the following statement? “Men and women should have equal opportunities (e.g. in education, jobs, household decision-making).""",Neutral,
a1_disagree,"A.1. How much do you agree or disagree with the following statement? “Men and women should have equal opportunities (e.g. in education, jobs, household decision-making).""",Strongly Disagree/Disagree,
a2_opps_other,"A.2. Out of 10 of your neighbors, how many do you think believe that men and women should have equal opportunities (e.g. in education, jobs, household decision-making)?",,Calculated as an average (mean) of all respondents.
a3_yes,"A.3.  Last week, did you do any work for pay, do any kind of business, farming or other activity to generate income, even if only for one hour? ",Yes,
a3_no,"A.3.  Last week, did you do any work for pay, do any kind of business, farming or other activity to generate income, even if only for one hour? ",No,
a4,A.4. What is your gender?,,
a5_r,A.5. What is your relationship to the head of household?,Head of household,
a6_r_city,A.6. How would you best describe the area where you currently live?,City,
a6_r_noncity,A.6. How would you best describe the area where you currently live?,"Village, Rural area, or Other",
b1_hours_work,B.1. Number of hours spent per day at work last week,,Calculated as an average (mean) of all respondents.
b2_self,B.2. Who are the main income earners in your household? (including earnings sent from another area/country),Self,
b3_dependent,"B.3. During the last 12 months, which of the following -most closely- reflects your current financial situation?",Does not fully cover own expenses,
b3_fullyindependent,"B.3. During the last 12 months, which of the following -most closely- reflects your current financial situation?",Fully cover own expenses or fully covers their own expenses and others expenses,
b4_agree,"B.4. How much do you agree or disagree with the following statement? “Household expenses are the responsibility of the man, even if his wife can help him."" ",Strongly Agree/Agree,
b4_neutral,"B.4. How much do you agree or disagree with the following statement? “Household expenses are the responsibility of the man, even if his wife can help him."" ",Neutral,
b4_disagree,"B.4. How much do you agree or disagree with the following statement? “Household expenses are the responsibility of the man, even if his wife can help him."" ",Strongly Disagree/Disagree,
b5_man_other,"B.5. Out of 10 of your neighbors, how many do you think believe that household expenses are the responsibility of the man, even if his wife can help him?",,Calculated as an average (mean) of all respondents.
b6_assistance,"B.6. In the last 12 months, which of the following were your household’s sources of livelihood?",Assistance from family within the country ,
b6_familybiz,"B.6. In the last 12 months, which of the following were your household’s sources of livelihood?","Non-farm family business, including family business        ",
b6_familyfarm,"B.6. In the last 12 months, which of the following were your household’s sources of livelihood?","Family farming, livestock or fishing ",
b6_gov,"B.6. In the last 12 months, which of the following were your household’s sources of livelihood? ",Assistance from the government,
b6_invest,"B.6. In the last 12 months, which of the following were your household’s sources of livelihood?             ","Income from properties, investments or savings",
b6_ngo,"B.6. In the last 12 months, which of the following were your household’s sources of livelihood?",Assistance from NGO / charitable organization,
b6_nonfam,"B.6. In the last 12 months, which of the following were your household’s sources of livelihood?",Assistance from other non-family individuals,
b6_oth,"B.6. In the last 12 months, which of the following were your household’s sources of livelihood? ",Other,
b6_pension,"B.6. In the last 12 months, which of the following were your household’s sources of livelihood?",Pension,
b6_remittances,"B.6. In the last 12 months, which of the following were your household’s sources of livelihood?",Remittances from abroad,
b6_unemploy,"B.6. In the last 12 months, which of the following were your household’s sources of livelihood?",Unemployment benefits              ,
b6_wage,"B.6. In the last 12 months, which of the following were your household’s sources of livelihood?",Wages from employment of household members,
b7_full,B.7. What level of access to household money do you personally have?,Full access,
b7_limited,B.7. What level of access to household money do you personally have?,Limited or No access,
b8,B.8. Who normally decides about large purchases in your household?,Self,
b9,"B.9. Who decides about money spending priorities in critical or urgent matters within your household (e.g., medical emergency, family member job loss, etc.)?",Self,
b10_yes,"B.10. During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",Yes,
b10_no,"B.10. During the last 30 days, was there a time when you were worried about not having enough food to eat because of lack of money or other resources?",No,
c1_elderly,"C.1. In normal circumstances, are you the *main* care giver of any of the following persons in your family?",Elderly dependents aged over 65,
c1_disability,"C.1. In normal circumstances, are you the *main* care giver of any of the following persons in your family?",Someone with special needs or a disability,
c1_isolate,"C.1. In normal circumstances, are you the *main* care giver of any of the following persons in your family?",Household members who are self-isolating or self-quarantined,
c1_none,"C.1. In normal circumstances, are you the *main* care giver of any of the following persons in your family?",None of the above,
c1_preschool,"C.1. In normal circumstances, are you the *main* care giver of any of the following persons in your family?",Child/children under 6 years old ,
c1_school,"C.1. In normal circumstances, are you the *main* care giver of any of the following persons in your family?",Child/children in school age 6 to 18 years old,
c1a_all,C.1.a. How often do you normally get help from others to take care of these family members?,All or Most of the time,
c1a_occasionally,C.1.a. How often do you normally get help from others to take care of these family members?,Occasionally/Rarely/Not at all,
c1b_spouse,C.1.b. Who normally helps you in taking care of these family members?,Spouse,
c1c_hours_care,"C.1.c. On a typical day, how many hours per day do you spend on care activities for family members?",,Calculated as an average (mean) of all respondents.
c1d_increase,C.1.d. How has the amount of time you spend caring for your family members changed during the coronavirus  (COVID-19) pandemic compared to before?,Increased,
c1d_same,C.1.d. How has the amount of time you spend caring for your family members changed during the coronavirus  (COVID-19) pandemic compared to before?,Stayed the same,
c1d_decrease,C.1.d. How has the amount of time you spend caring for your family members changed during the coronavirus  (COVID-19) pandemic compared to before?,Decreased,
c2_animals,"C.2. In normal circumstances, do you take care of any of the following household chores at least half of the time?",Tending to animals,
c2_business,"C.2. In normal circumstances, do you take care of any of the following household chores at least half of the time? ",Supporting family business,
c2_clean,"C.2. In normal circumstances, do you take care of any of the following household chores at least half of the time? ","Cleaning (e.g. washing clothes, dish washing, home cleaning)",
c2_cook,"C.2. In normal circumstances, do you take care of any of the following household chores at least half of the time? ",Cooking and serving meals,
c2_farm,"C.2. In normal circumstances, do you take care of any of the following household chores at least half of the time? ",Subsistence farming,
c2_hhmanage,"C.2. In normal circumstances, do you take care of any of the following household chores at least half of the time? ",Household management (e.g. paying bills),
c2_none,"C.2. In normal circumstances, do you take care of any of the following household chores at least half of the time? ",None of the above,
c2_other,"C.2. In normal circumstances, do you take care of any of the following household chores at least half of the time?",Other,
c2_shop,"C.2. In normal circumstances, do you take care of any of the following household chores at least half of the time? ",Shopping for food for household members,
c2_water_fuel,"C.2. In normal circumstances, do you take care of any of the following household chores at least half of the time? ",Collecting water or fuel,
c2a_no,C.2.a. Does anyone normally help you in taking care of these household chores? ,No,
c2a_yes,C.2.a. Does anyone normally help you in taking care of these household chores? ,Yes,
c2b_spouse,C.2.b. Who normally helps you with these household chores?,Spouse,
c2c_hours_chores,"C.2.c. On a typical day, how many hours per day do you spend on household chores?",,Calculated as an average (mean) of all respondents.
c2d_increase,C.2.d. How did the amount of time you spend on household chores change during the coronavirus (COVID-19) pandemic compared to before?,Increased,
c2d_same,C.2.d. How did the amount of time you spend on household chores change during the coronavirus (COVID-19) pandemic compared to before?,Stayed the same,
c2d_decrease,C.2.d. How did the amount of time you spend on household chores change during the coronavirus (COVID-19) pandemic compared to before?,Decreased,
c3_agree,"C.3. How much do you agree or disagree with the following statement? ""A woman's most important role is to take care of her home and children.""",Strongly Agree/Agree,
c3_neutral,"C.3. How much do you agree or disagree with the following statement? ""A woman's most important role is to take care of her home and children.""",Neutral,
c3_disagree,"C.3. How much do you agree or disagree with the following statement? ""A woman's most important role is to take care of her home and children.""",Strongly Disagree/Disagree,
c4_housewife_other,"C.4. Out of 10 of your neighbors, how many do you think believe that a woman's most important role is to take care of her home and children?",,Calculated as an average (mean) of all respondents.
d0,D.0. Do you have a long-term partner or a spouse?,Yes,
d1,D.1. How many other people live with you under the same roof? ,Live alone,
d4_computer,D.4. Do you currently own any of the following? ,Computer,
d4_home,D.4. Do you currently own any of the following? ,The place where you live,
d4_land,D.4. Do you currently own any of the following? ,Land,
d4_none,D.4. Do you currently own any of the following? ,None of the above,
d4_phone,D.4. Do you currently own any of the following? ,Smart phone,
d4_vehicle,D.4. Do you currently own any of the following? ,A motorized vehicle,
d5_agree,"D.5. Do you agree or disagree with the statement? ""There are times when I feel uncomfortable or even unsafe in my house."" ",Strongly Agree/Agree,
d5_neutral,"D.5. Do you agree or disagree with the statement? ""There are times when I feel uncomfortable or even unsafe in my house."" ",Neutral,
d5_disagree,"D.5. Do you agree or disagree with the statement? ""There are times when I feel uncomfortable or even unsafe in my house."" ",Strongly Disagree/Disagree,
d6_health,"D.6. As a result of the coronavirus (COVID-19) pandemic, did you personally experience any of the following? ",Unable to seek medical care,
d6_isolate,"D.6. As a result of the coronavirus (COVID-19) pandemic, did you personally experience any of the following? ",Isolate or follow a quarantine order,
d6_job,"D.6. As a result of the coronavirus (COVID-19) pandemic, did you personally experience any of the following? ",Lost a job ,
d6_medical,"D.6. As a result of the coronavirus (COVID-19) pandemic, did you personally experience any of the following? ",Difficulty accessing medical or hygiene supplies,
d6_migrate,"D.6. As a result of the coronavirus (COVID-19) pandemic, did you personally experience any of the following? ",Migrated to different geographical area ,
d6_none,"D.6. As a result of the coronavirus (COVID-19) pandemic, did you personally experience any of the following? ",None of the above,
d6_other,"D.6. As a result of the coronavirus (COVID-19) pandemic, did you personally experience any of the following? ",Other,
d6_personal,"D.6. As a result of the coronavirus (COVID-19) pandemic, did you personally experience any of the following? ",Unable to perform usual personal care/health routines,
d6_school,"D.6. As a result of the coronavirus (COVID-19) pandemic, did you personally experience any of the following? ",School was cancelled or reduced,
d6_transport,"D.6. As a result of the coronavirus (COVID-19) pandemic, did you personally experience any of the following? ",Lost access to/could not use public transport,
d6_wait,"D.6. As a result of the coronavirus (COVID-19) pandemic, did you personally experience any of the following? ",Longer wait times to visit doctors/seek medical care,
d7_bored,D.7. What are your main concerns during the coronavirus (COVID-19) pandemic? ,Staying home with limited things to do,
d7_food,D.7. What are your main concerns during the coronavirus (COVID-19) pandemic? ,Having enough food and basic supplies for my family ,
d7_health,D.7. What are your main concerns during the coronavirus (COVID-19) pandemic? ,Access to health care            ,
d7_info,D.7. What are your main concerns during the coronavirus (COVID-19) pandemic? ,Having access to accurate information on coronavirus (COVID-19) pandemic,
d7_loan,D.7. What are your main concerns during the coronavirus (COVID-19) pandemic? ,Repaying outstanding loans,
d7_money,D.7. What are your main concerns during the coronavirus (COVID-19) pandemic? ,Having enough money to sustain my family,
d7_none,D.7. What are your main concerns during the coronavirus (COVID-19) pandemic? ,I do not have any concerns at this time  ,
d7_stuck,D.7. What are your main concerns during the coronavirus (COVID-19) pandemic? ,Being stuck at home for a long time   ,
d7_work,D.7. What are your main concerns during the coronavirus (COVID-19) pandemic? ,The future of my work,
